
For Model both_cqt_12_results.txt
    All choruses
        chords_accuracy: 0.48
        chord_root_accuracy: 0.57
        chords_thirds_accuracy: 0.56
        chords_mirex_accuracy: 0.57
        root_accuracy: 0.54
        notes_accuracy: 0.48
        beats_accuracy: 0.86
        beats_precision: 0.55
        beats_recall: 0.10
    Averaged Predictions
        chords_accuracy: 0.56
        chord_root_accuracy: 0.63
        chords_thirds_accuracy: 0.62
        chords_mirex_accuracy: 0.63
        root_accuracy: 0.65
        notes_accuracy: 0.54
        beats_accuracy: 0.87
        beats_precision: 0.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.54
        chord_root_accuracy: 0.63
        chords_thirds_accuracy: 0.61
        chords_mirex_accuracy: 0.62
