
For Model both_cqt_07_results.txt
    All choruses
        chords_accuracy: 0.50
        chord_root_accuracy: 0.56
        chords_thirds_accuracy: 0.56
        chords_mirex_accuracy: 0.57
        root_accuracy: 0.55
        notes_accuracy: 0.45
        beats_accuracy: 0.86
        beats_precision: 0.55
        beats_recall: 0.05
    Averaged Predictions
        chords_accuracy: 0.61
        chord_root_accuracy: 0.65
        chords_thirds_accuracy: 0.66
        chords_mirex_accuracy: 0.67
        root_accuracy: 0.63
        notes_accuracy: 0.53
        beats_accuracy: 0.87
        beats_precision: 0.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.60
        chord_root_accuracy: 0.65
        chords_thirds_accuracy: 0.65
        chords_mirex_accuracy: 0.65
