
For Model both_cqt_10_results.txt
    All choruses
        chords_accuracy: 0.48
        chord_root_accuracy: 0.56
        chords_thirds_accuracy: 0.55
        chords_mirex_accuracy: 0.56
        root_accuracy: 0.56
        notes_accuracy: 0.47
        beats_accuracy: 0.86
        beats_precision: 0.52
        beats_recall: 0.12
    Averaged Predictions
        chords_accuracy: 0.61
        chord_root_accuracy: 0.66
        chords_thirds_accuracy: 0.66
        chords_mirex_accuracy: 0.67
        root_accuracy: 0.67
        notes_accuracy: 0.55
        beats_accuracy: 0.87
        beats_precision: 0.80
        beats_recall: 0.01
    Averaged Latent Features
        chords_accuracy: 0.51
        chord_root_accuracy: 0.60
        chords_thirds_accuracy: 0.58
        chords_mirex_accuracy: 0.59
