
For Model both_cqt_16_results.txt
    All choruses
        chords_accuracy: 0.44
        chord_root_accuracy: 0.54
        chords_thirds_accuracy: 0.53
        chords_mirex_accuracy: 0.54
        root_accuracy: 0.54
        notes_accuracy: 0.45
        beats_accuracy: 0.86
        beats_precision: 0.54
        beats_recall: 0.13
    Averaged Predictions
        chords_accuracy: 0.58
        chord_root_accuracy: 0.66
        chords_thirds_accuracy: 0.65
        chords_mirex_accuracy: 0.67
        root_accuracy: 0.64
        notes_accuracy: 0.54
        beats_accuracy: 0.87
        beats_precision: 0.89
        beats_recall: 0.01
    Averaged Latent Features
        chords_accuracy: 0.49
        chord_root_accuracy: 0.59
        chords_thirds_accuracy: 0.57
        chords_mirex_accuracy: 0.58
