
For Model both_cqt_17_results.txt
    All choruses
        chords_accuracy: 0.50
        chord_root_accuracy: 0.57
        chords_thirds_accuracy: 0.57
        chords_mirex_accuracy: 0.58
        root_accuracy: 0.56
        notes_accuracy: 0.46
        beats_accuracy: 0.86
        beats_precision: 0.54
        beats_recall: 0.11
    Averaged Predictions
        chords_accuracy: 0.59
        chord_root_accuracy: 0.64
        chords_thirds_accuracy: 0.64
        chords_mirex_accuracy: 0.65
        root_accuracy: 0.64
        notes_accuracy: 0.51
        beats_accuracy: 0.87
        beats_precision: 1.00
        beats_recall: 0.01
    Averaged Latent Features
        chords_accuracy: 0.57
        chord_root_accuracy: 0.63
        chords_thirds_accuracy: 0.62
        chords_mirex_accuracy: 0.63
