
For Model both_cqt_20_results.txt
    All choruses
        chords_accuracy: 0.49
        chord_root_accuracy: 0.57
        chords_thirds_accuracy: 0.57
        chords_mirex_accuracy: 0.58
        root_accuracy: 0.54
        notes_accuracy: 0.47
        beats_accuracy: 0.86
        beats_precision: 0.53
        beats_recall: 0.13
    Averaged Predictions
        chords_accuracy: 0.60
        chord_root_accuracy: 0.66
        chords_thirds_accuracy: 0.65
        chords_mirex_accuracy: 0.67
        root_accuracy: 0.64
        notes_accuracy: 0.54
        beats_accuracy: 0.87
        beats_precision: 0.88
        beats_recall: 0.01
    Averaged Latent Features
        chords_accuracy: 0.53
        chord_root_accuracy: 0.61
        chords_thirds_accuracy: 0.60
        chords_mirex_accuracy: 0.62
