
For Model both_cqt_14_results.txt
    All choruses
        chords_accuracy: 0.45
        chord_root_accuracy: 0.55
        chords_thirds_accuracy: 0.55
        chords_mirex_accuracy: 0.55
        root_accuracy: 0.54
        notes_accuracy: 0.46
        beats_accuracy: 0.86
        beats_precision: 0.55
        beats_recall: 0.10
    Averaged Predictions
        chords_accuracy: 0.55
        chord_root_accuracy: 0.63
        chords_thirds_accuracy: 0.63
        chords_mirex_accuracy: 0.64
        root_accuracy: 0.62
        notes_accuracy: 0.53
        beats_accuracy: 0.87
        beats_precision: 1.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.46
        chord_root_accuracy: 0.57
        chords_thirds_accuracy: 0.54
        chords_mirex_accuracy: 0.57
