
For Model both_cqt_08_results.txt
    All choruses
        chords_accuracy: 0.49
        chord_root_accuracy: 0.57
        chords_thirds_accuracy: 0.57
        chords_mirex_accuracy: 0.58
        root_accuracy: 0.55
        notes_accuracy: 0.50
        beats_accuracy: 0.86
        beats_precision: 0.54
        beats_recall: 0.06
    Averaged Predictions
        chords_accuracy: 0.59
        chord_root_accuracy: 0.65
        chords_thirds_accuracy: 0.65
        chords_mirex_accuracy: 0.66
        root_accuracy: 0.65
        notes_accuracy: 0.57
        beats_accuracy: 0.87
        beats_precision: 0.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.57
        chord_root_accuracy: 0.64
        chords_thirds_accuracy: 0.64
        chords_mirex_accuracy: 0.65
