
For Model both_cqt_11_results.txt
    All choruses
        chords_accuracy: 0.44
        chord_root_accuracy: 0.54
        chords_thirds_accuracy: 0.52
        chords_mirex_accuracy: 0.54
        root_accuracy: 0.54
        notes_accuracy: 0.45
        beats_accuracy: 0.86
        beats_precision: 0.54
        beats_recall: 0.11
    Averaged Predictions
        chords_accuracy: 0.56
        chord_root_accuracy: 0.64
        chords_thirds_accuracy: 0.63
        chords_mirex_accuracy: 0.64
        root_accuracy: 0.65
        notes_accuracy: 0.50
        beats_accuracy: 0.87
        beats_precision: 1.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.46
        chord_root_accuracy: 0.55
        chords_thirds_accuracy: 0.53
        chords_mirex_accuracy: 0.54
