
For Model both_cqt_05_results.txt
    All choruses
        chords_accuracy: 0.47
        chord_root_accuracy: 0.54
        chords_thirds_accuracy: 0.54
        chords_mirex_accuracy: 0.54
        root_accuracy: 0.55
        notes_accuracy: 0.47
        beats_accuracy: 0.86
        beats_precision: 0.55
        beats_recall: 0.06
    Averaged Predictions
        chords_accuracy: 0.58
        chord_root_accuracy: 0.63
        chords_thirds_accuracy: 0.63
        chords_mirex_accuracy: 0.63
        root_accuracy: 0.61
        notes_accuracy: 0.51
        beats_accuracy: 0.87
        beats_precision: 1.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.54
        chord_root_accuracy: 0.62
        chords_thirds_accuracy: 0.60
        chords_mirex_accuracy: 0.61
