
For Model both_cqt_06_results.txt
    All choruses
        chords_accuracy: 0.46
        chord_root_accuracy: 0.56
        chords_thirds_accuracy: 0.55
        chords_mirex_accuracy: 0.56
        root_accuracy: 0.56
        notes_accuracy: 0.46
        beats_accuracy: 0.86
        beats_precision: 0.54
        beats_recall: 0.06
    Averaged Predictions
        chords_accuracy: 0.58
        chord_root_accuracy: 0.66
        chords_thirds_accuracy: 0.66
        chords_mirex_accuracy: 0.67
        root_accuracy: 0.63
        notes_accuracy: 0.51
        beats_accuracy: 0.87
        beats_precision: 0.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.56
        chord_root_accuracy: 0.65
        chords_thirds_accuracy: 0.63
        chords_mirex_accuracy: 0.64
