
For Model both_cqt_03_results.txt
    All choruses
        chords_accuracy: 0.51
        chord_root_accuracy: 0.60
        chords_thirds_accuracy: 0.58
        chords_mirex_accuracy: 0.59
        root_accuracy: 0.61
        notes_accuracy: 0.46
        beats_accuracy: 0.85
        beats_precision: 0.53
        beats_recall: 0.02
    Averaged Predictions
        chords_accuracy: 0.63
        chord_root_accuracy: 0.68
        chords_thirds_accuracy: 0.68
        chords_mirex_accuracy: 0.68
        root_accuracy: 0.66
        notes_accuracy: 0.55
        beats_accuracy: 0.87
        beats_precision: 0.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.59
        chord_root_accuracy: 0.67
        chords_thirds_accuracy: 0.66
        chords_mirex_accuracy: 0.65
