
For Model both_cqt_09_results.txt
    All choruses
        chords_accuracy: 0.48
        root_accuracy: 0.53
        notes_accuracy: 0.49
        beats_accuracy: 0.85
        beats_precision: 0.50
        beats_recall: 0.25
    Averaged Predictions
        chords_accuracy: 0.63
        root_accuracy: 0.66
        notes_accuracy: 0.58
        beats_accuracy: 0.87
        beats_precision: 0.81
        beats_recall: 0.05
    Averaged Latent Features
        chords_accuracy: 0.55
        root_accuracy: 0.66
        notes_accuracy: 0.58
        beats_accuracy: 0.87
        beats_precision: 0.81
        beats_recall: 0.05
