
For Model both_cqt_06_results.txt
    All choruses
        chords_accuracy: 0.53
        chord_root_accuracy: 0.60
        chords_thirds_accuracy: 0.58
        chords_mirex_accuracy: 0.60
        root_accuracy: 0.60
        notes_accuracy: 0.49
        beats_accuracy: 0.86
        beats_precision: 0.52
        beats_recall: 0.17
    Averaged Predictions
        chords_accuracy: 0.64
        chord_root_accuracy: 0.69
        chords_thirds_accuracy: 0.68
        chords_mirex_accuracy: 0.69
        root_accuracy: 0.65
        notes_accuracy: 0.58
        beats_accuracy: 0.87
        beats_precision: 0.82
        beats_recall: 0.01
    Averaged Latent Features
        chords_accuracy: 0.61
        chord_root_accuracy: 0.67
        chords_thirds_accuracy: 0.66
        chords_mirex_accuracy: 0.66
