
For Model both_cqt_04_results.txt
    All choruses
        chords_accuracy: 0.52
        chord_root_accuracy: 0.61
        chords_thirds_accuracy: 0.60
        chords_mirex_accuracy: 0.60
        root_accuracy: 0.60
        notes_accuracy: 0.47
        beats_accuracy: 0.86
        beats_precision: 0.53
        beats_recall: 0.09
    Averaged Predictions
        chords_accuracy: 0.65
        chord_root_accuracy: 0.70
        chords_thirds_accuracy: 0.70
        chords_mirex_accuracy: 0.70
        root_accuracy: 0.66
        notes_accuracy: 0.57
        beats_accuracy: 0.87
        beats_precision: 1.00
        beats_recall: 0.00
    Averaged Latent Features
        chords_accuracy: 0.62
        chord_root_accuracy: 0.67
        chords_thirds_accuracy: 0.66
        chords_mirex_accuracy: 0.65
